transaction_id,customer_id,first_name,last_name,transaction_date,transaction_year,transaction_month,transaction_day,signup_date,signup_year,signup_month,signup_day,amount,country,clean_currency,transaction_type,merchant_category,payment_method,issuing_bank,status,fraud_flag,account_balance
TXN101629,CUST1749,Michael,Gregory,"2025-11-23 00:00:00",2025,11,23,"2025-08-16 00:00:00",2025,8,16,1685.26,"United States",USD,fee,"ATM Withdrawal",Unknown,DBS,Failed,0,122603.44
TXN103665,CUST1665,Michael,Mckinney,"2026-04-19 03:39:00",2026,4,19,"2025-07-08 00:00:00",2025,7,8,395.39,Japan,JPY,fee,Education,"Debit Card",OCBC,Completed,0,206641.24
TXN105322,CUST1311,Lisa,Glenn,"2023-06-02 00:00:00",2023,6,2,"2025-11-16 00:00:00",2025,11,16,571.81,Singapore,SGD,purchase,Travel,GCash,BDO,Reversed,0,84046.81
TXN101146,CUST1450,Sheila,Jones,"2023-02-15 00:00:00",2023,2,15,"2022-09-06 00:00:00",2022,9,6,NULL,Japan,JPY,refund,Insurance,"Debit Card",Landbank,Unknown,0,4071.66
TXN105180,CUST1872,Chelsea,Johnson,"2025-05-16 00:00:00",2025,5,16,"2024-01-11 00:00:00",2024,1,11,-193.50,Philippines,PHP,refund,Healthcare,PayMaya,BDO,Failed,Unknown,120618.12
TXN102414,CUST1482,Jessica,Garcia,"2025-11-24 00:00:00",2025,11,24,"2024-11-26 00:00:00",2024,11,26,-228.29,Singapore,SGD,refund,"P2P Transfer","Credit Card",BDO,Completed,0,46483.20
TXN104575,CUST1472,Nancy,Gonzalez,"2025-01-09 00:00:00",2025,1,9,"2022-10-07 00:00:00",2022,10,7,129.92,Philippines,PHP,Unknown,Entertainment,E-Wallet,BPI,Pending,Unknown,155028.15
TXN104781,CUST1898,Neil,Singh,"2024-01-10 11:53:00",2024,1,10,"2022-10-30 00:00:00",2022,10,30,751.84,Philippines,PHP,purchase,Investment,"Debit Card",RCBC,Pending,0,30836.04
TXN104592,CUST1186,James,Gonzales,"2026-04-09 00:00:00",2026,4,9,"2024-12-04 00:00:00",2024,12,4,-377.56,"United States",USD,refund,Entertainment,"Credit Card",UnionBank,Completed,Unknown,153271.67
TXN100889,CUST1081,Denise,Mccann,"2024-08-12 00:00:00",2024,8,12,"2025-07-23 00:00:00",2025,7,23,-370.19,Philippines,PHP,refund,Travel,"Debit Card",Unknown,Completed,0,121000.73
TXN104987,CUST1475,Lisa,Stanley,"2025-09-11 00:00:00",2025,9,11,"2022-10-05 00:00:00",2022,10,5,76.15,Singapore,SGD,purchase,"Government Fees","Credit Card",Landbank,Failed,0,NULL
TXN103748,CUST1664,megan,ferguson,"2026-05-14 00:00:00",2026,5,14,"2024-02-22 00:00:00",2024,2,22,863.97,Philippines,PHP,withdrawal,Other,E-Wallet,Metrobank,Completed,0,131522.64
TXN104322,CUST1445,Karen,Carroll,"2024-10-15 04:16:00",2024,10,15,"2024-08-23 00:00:00",2024,8,23,1444.25,"United States",USD,Unknown,Healthcare,"Bank Transfer",Chase,Reversed,Unknown,52143.08
TXN100700,CUST1052,Miss,Gibson,"2024-11-22 00:00:00",2024,11,22,"2023-05-11 00:00:00",2023,5,11,265.37,Japan,JPY,purchase,Travel,"Credit Card",Metrobank,Reversed,0,146858.81
TXN103929,CUST1154,Maria,Hernandez,"2023-12-08 00:00:00",2023,12,8,"2023-01-15 00:00:00",2023,1,15,-2486.19,Philippines,PHP,refund,Investment,Cash,Chase,failed,0,9182.40
TXN105474,CUST1723,John,Smith,"2026-06-15 00:00:00",2026,6,15,"2025-08-10 00:00:00",2025,8,10,5078.87,Singapore,SGD,deposit,Subscriptions,Cash,Unknown,Completed,0,232675.23
TXN100948,CUST1311,Lisa,Glenn,"2023-01-25 06:44:00",2023,1,25,"2025-11-16 00:00:00",2025,11,16,NULL,"United States",USD,refund,Insurance,"Bank Transfer",Unknown,Completed,0,NULL
TXN103031,CUST1016,Sandra,Parker,"2023-04-01 00:00:00",2023,4,1,"2022-10-21 00:00:00",2022,10,21,1348.31,Philippines,PHP,fee,Unknown,"credit card",RCBC,failed,1,125673.94
TXN104448,CUST1395,Jennifer,Avila,"2024-03-05 00:00:00",2024,3,5,"2023-12-21 00:00:00",2023,12,21,536.47,Singapore,SGD,deposit,Electronics,"Debit Card",Unknown,Unknown,0,27067.20
TXN104542,CUST1204,Amanda,Shields,"2025-07-16 00:00:00",2025,7,16,"2023-06-07 00:00:00",2023,6,7,387.77,Philippines,PHP,Unknown,"P2P Transfer","Bank Transfer",Chase,Unknown,0,141581.36
TXN105045,CUST1339,Dennis,Williams,"2025-05-02 20:46:00",2025,5,2,"2024-09-14 00:00:00",2024,9,14,773.15,Philippines,PHP,deposit,Fuel,E-Wallet,BPI,Reversed,0,10483.28
TXN100738,CUST1771,Christopher,Knox,"2023-01-02 00:00:00",2023,1,2,"2025-12-25 00:00:00",2025,12,25,-204.86,Philippines,PHP,refund,Fuel,"Bank Transfer",OCBC,Failed,0,NULL
TXN100582,CUST1751,Kathleen,Golden,"2023-09-27 00:00:00",2023,9,27,"2025-10-06 00:00:00",2025,10,6,4881.36,"United States",USD,Unknown,Groceries,"Debit Card",Unknown,Unknown,0,NULL
TXN103470,CUST1155,Angela,Bean,"2023-12-21 00:00:00",2023,12,21,"2024-01-28 00:00:00",2024,1,28,737.83,Japan,JPY,fee,Entertainment,Cash,BDO,failed,0,168944.91
TXN102209,CUST1394,Jeremiah,Baker,"2024-01-15 00:00:00",2024,1,15,"2024-11-03 00:00:00",2024,11,3,1716.42,"United States",USD,transfer,Insurance,GCash,Metrobank,failed,1,17724.72
TXN105822,CUST1643,Ashley,Blair,"2024-09-13 00:00:00",2024,9,13,"2023-07-06 00:00:00",2023,7,6,370.29,Philippines,PHP,Unknown,Fashion,GCash,DBS,Completed,0,81253.86
TXN104881,CUST1790,Jesus,Fitzgerald,"2025-07-10 16:15:00",2025,7,10,"2025-12-13 00:00:00",2025,12,13,-3821.79,"United States",USD,refund,"ATM Withdrawal","Bank Transfer",BPI,Reversed,0,114206.09
TXN102290,CUST1854,Thomas,Sanchez,"2025-05-02 02:57:00",2025,5,2,"2023-07-02 00:00:00",2023,7,2,702.21,Japan,JPY,transfer,"ATM Withdrawal",E-Wallet,Metrobank,failed,0,65096.62
TXN105587,CUST1476,Kelly,Krueger,"2025-09-24 00:00:00",2025,9,24,"2024-05-20 00:00:00",2024,5,20,-669.95,Japan,JPY,refund,Unknown,Cash,UnionBank,Reversed,0,180056.15
TXN105307,CUST1191,Jessica,Martinez,"2024-02-20 00:00:00",2024,2,20,"2025-10-29 00:00:00",2025,10,29,412.85,Philippines,PHP,fee,Subscriptions,E-Wallet,UnionBank,Unknown,0,157595.49
TXN100244,CUST1547,RYAN,DAVIS,"2023-07-29 00:00:00",2023,7,29,"2025-10-06 00:00:00",2025,10,6,-6417.75,Singapore,SGD,refund,"ATM Withdrawal","Credit Card",Chase,Pending,Unknown,219225.07
TXN105722,CUST1114,Natasha,Williams,"2025-11-25 00:00:00",2025,11,25,"2024-08-17 00:00:00",2024,8,17,356.31,"United States",USD,withdrawal,Dining,Cash,Chase,Completed,0,138277.66
TXN105299,CUST1132,KAYLA,RODRIGUEZ,"2025-01-03 10:01:00",2025,1,3,"2024-04-30 00:00:00",2024,4,30,393.99,"United States",USD,fee,Fashion,Unknown,Metrobank,Failed,0,25492.25
TXN100059,CUST1611,Sharon,Smith,"2025-07-18 00:00:00",2025,7,18,"2025-12-03 00:00:00",2025,12,3,NULL,"United States",USD,refund,Subscriptions,"Debit Card",RCBC,Pending,Unknown,30406.41
TXN103052,CUST1401,Chase,Knight,"2024-05-05 00:00:00",2024,5,5,"2025-04-03 00:00:00",2025,4,3,1304.00,Japan,JPY,purchase,"ATM Withdrawal",PayMaya,Landbank,Failed,Unknown,110742.50
TXN104232,CUST1181,Paul,Kelly,"2025-11-26 00:00:00",2025,11,26,"2022-11-13 00:00:00",2022,11,13,418.10,"United States",USD,fee,Other,"Bank Transfer",OCBC,Completed,0,20407.39
TXN104848,CUST1312,Kathleen,Cohen,"2026-01-13 00:00:00",2026,1,13,"2023-02-02 00:00:00",2023,2,2,76.60,Japan,JPY,purchase,Unknown,Cash,Landbank,Reversed,0,233672.24
TXN102945,CUST1120,Alexis,Herrera,"2024-01-14 00:00:00",2024,1,14,"2023-06-04 00:00:00",2023,6,4,522.36,Philippines,PHP,transfer,Other,"credit card",BDO,Completed,0,191828.80
TXN103861,CUST1439,Sara,Caldwell,"2025-01-30 00:00:00",2025,1,30,"2025-01-13 00:00:00",2025,1,13,605.96,Philippines,PHP,withdrawal,Other,"credit card",Unknown,Completed,0,180286.31
TXN101002,CUST1841,Diane,MD,"2023-02-27 00:00:00",2023,2,27,"2025-12-02 00:00:00",2025,12,2,966.29,Philippines,PHP,fee,"Government Fees","Debit Card",BPI,Completed,Unknown,135404.27
TXN102547,CUST1670,Jessica,Baird,"2024-03-01 00:00:00",2024,3,1,"2024-11-05 00:00:00",2024,11,5,402.61,Philippines,PHP,withdrawal,Investment,"Debit Card",Metrobank,Completed,Unknown,115106.24
TXN101450,CUST1376,Andrew,Brown,"2025-10-28 00:00:00",2025,10,28,"2025-09-19 00:00:00",2025,9,19,-121655.00,Singapore,SGD,refund,"ATM Withdrawal","Debit Card",Landbank,Failed,0,238227.35
TXN100956,CUST1165,Yolanda,Gaines,"2026-02-01 00:00:00",2026,2,1,"2022-07-27 00:00:00",2022,7,27,206.72,"United States",USD,purchase,Fashion,"Debit Card",Unknown,Completed,0,220540.98
TXN101677,CUST1523,Melinda,Williams,"2023-11-22 00:00:00",2023,11,22,"2025-05-21 00:00:00",2025,5,21,389.21,"United States",USD,purchase,Investment,"Credit Card",OCBC,Completed,0,187817.03
TXN105363,CUST1304,Crystal,Sullivan,"2023-05-22 01:01:00",2023,5,22,"2022-08-10 00:00:00",2022,8,10,-1865.16,Philippines,PHP,refund,dining,Cash,OCBC,Pending,0,217767.20
TXN104993,CUST1275,Michele,Miller,"2023-07-23 11:59:00",2023,7,23,"2025-12-04 00:00:00",2025,12,4,571.63,Japan,JPY,deposit,Groceries,Cash,Chase,Failed,Unknown,167256.00
TXN105060,CUST1241,Jennifer,Dunn,"2025-08-13 00:00:00",2025,8,13,"2025-05-24 00:00:00",2025,5,24,279.54,Singapore,SGD,withdrawal,Entertainment,"Debit Card",BDO,Completed,0,93080.65
TXN104949,CUST1536,Susan,Porter,"2023-08-27 00:00:00",2023,8,27,"2023-03-25 00:00:00",2023,3,25,1068.61,Singapore,SGD,purchase,Travel,"Bank Transfer",Chase,Reversed,Unknown,155730.65
TXN102936,CUST1895,Jennifer,Blackwell,"2024-08-19 00:00:00",2024,8,19,"2025-05-25 00:00:00",2025,5,25,464.84,"United States",USD,fee,dining,E-Wallet,DBS,Unknown,0,78989.61
TXN102082,CUST1464,melissa,morse,"2024-07-28 00:00:00",2024,7,28,"2024-04-07 00:00:00",2024,4,7,150.73,Unknown,Unknown,deposit,Groceries,"Credit Card",Chase,failed,0,244151.98
TXN102173,CUST1336,Nicole,Phillips,"2024-03-05 00:00:00",2024,3,5,"2024-03-27 00:00:00",2024,3,27,154.72,"United States",USD,Unknown,dining,"Debit Card",RCBC,Completed,Unknown,104640.00
TXN100825,CUST1621,Richard,Rodriguez,"2024-05-08 00:00:00",2024,5,8,"2023-06-10 00:00:00",2023,6,10,NULL,Philippines,PHP,deposit,Groceries,"Bank Transfer",BPI,Reversed,Unknown,153428.43
TXN102222,CUST1473,Nancy,Wilson,"2023-01-26 00:00:00",2023,1,26,"2023-01-25 00:00:00",2023,1,25,463.71,Philippines,PHP,withdrawal,Groceries,Cash,Unknown,Reversed,Unknown,171125.60
TXN102334,CUST1824,Brian,Lewis,"2025-03-27 00:00:00",2025,3,27,"2024-03-21 00:00:00",2024,3,21,187.49,Philippines,PHP,fee,Other,E-Wallet,Unknown,Completed,0,189565.25
TXN102436,CUST1665,Michael,Mckinney,"2023-04-24 00:00:00",2023,4,24,"2025-07-08 00:00:00",2025,7,8,-557.99,Unknown,Unknown,refund,Education,"Credit Card",RCBC,Pending,Unknown,142928.06
TXN104861,CUST1847,John,Davis,"2024-10-30 00:00:00",2024,10,30,"2022-08-29 00:00:00",2022,8,29,1878.23,Japan,JPY,deposit,"Government Fees",Cash,BPI,Unknown,0,71676.86
TXN100788,CUST1784,Cathy,Bell,"2025-12-30 00:00:00",2025,12,30,"2025-10-28 00:00:00",2025,10,28,-52.83,Philippines,PHP,refund,Groceries,"credit card",Chase,failed,0,98921.83
TXN103294,CUST1232,Sarah,Johnson,"2025-08-20 00:00:00",2025,8,20,"2025-12-29 00:00:00",2025,12,29,-2435.49,Philippines,PHP,refund,Electronics,"Bank Transfer",Landbank,failed,1,121858.06
TXN100149,CUST1065,Alec,Ryan,"2026-03-26 00:00:00",2026,3,26,"2025-10-29 00:00:00",2025,10,29,-1825.57,Philippines,PHP,refund,dining,"credit card",Unknown,Failed,0,184605.28
TXN102638,CUST1130,Ashley,Delacruz,"2025-05-18 00:00:00",2025,5,18,"2024-07-25 00:00:00",2024,7,25,-368.19,Singapore,SGD,refund,"ATM Withdrawal",GCash,Landbank,Completed,0,163244.14
TXN105079,CUST1461,Lisa,Morris,"2023-02-05 00:00:00",2023,2,5,"2025-03-04 00:00:00",2025,3,4,1337.57,"United States",USD,Unknown,dining,"Debit Card",BPI,Unknown,0,133722.16
TXN103962,CUST1385,Amber,Kim,"2024-03-19 08:22:00",2024,3,19,"2025-08-03 00:00:00",2025,8,3,-1083.27,"United States",USD,refund,Fuel,Unknown,RCBC,Completed,0,147572.97
TXN102108,CUST1810,Sara,Herrera,"2025-10-09 00:00:00",2025,10,9,"2025-04-27 00:00:00",2025,4,27,1976.03,Japan,JPY,fee,dining,PayMaya,Landbank,Completed,0,215423.80
TXN100676,CUST1021,Michael,Lewis,"2025-09-16 14:26:00",2025,9,16,"2024-02-28 00:00:00",2024,2,28,540.35,Japan,JPY,Unknown,"Government Fees",Cash,Unknown,Reversed,Unknown,25804.50
TXN103725,CUST1696,Timothy,Cole,"2024-04-26 00:00:00",2024,4,26,"2024-09-25 00:00:00",2024,9,25,1188.71,"United States",USD,fee,Unknown,PayMaya,BDO,Completed,0,74963.44
TXN100915,CUST1366,Amber,Glass,"2023-01-28 00:00:00",2023,1,28,"2022-08-10 00:00:00",2022,8,10,12450.31,Philippines,PHP,purchase,Dining,"Debit Card",BDO,Completed,0,215104.85
TXN105297,CUST1655,Susan,Wallace,"2023-09-02 00:00:00",2023,9,2,"2023-03-04 00:00:00",2023,3,4,-3151.15,Singapore,SGD,refund,Groceries,Cash,UnionBank,Completed,Unknown,100464.13
TXN100706,CUST1443,Catherine,Morales,"2024-07-12 00:00:00",2024,7,12,"2025-06-25 00:00:00",2025,6,25,-122.65,Unknown,Unknown,refund,Other,GCash,Unknown,Completed,1,98031.05
TXN104818,CUST1306,Rebecca,Ray,"2023-02-28 00:00:00",2023,2,28,"2023-06-04 00:00:00",2023,6,4,165.21,Unknown,Unknown,purchase,dining,"Bank Transfer",BDO,failed,0,63878.28
TXN104085,CUST1831,Kaitlin,Gutierrez,"2024-08-07 00:00:00",2024,8,7,"2023-06-02 00:00:00",2023,6,2,950.63,Philippines,PHP,deposit,dining,GCash,Unknown,failed,0,130115.71
TXN104142,CUST1743,Lori,Padilla,"2023-10-05 00:00:00",2023,10,5,"2023-09-02 00:00:00",2023,9,2,253.57,Singapore,SGD,purchase,Utilities,"Debit Card",Unknown,Unknown,Unknown,84823.51
TXN100683,CUST1393,Deborah,May,"2026-03-09 00:00:00",2026,3,9,"2023-02-27 00:00:00",2023,2,27,116.11,Philippines,PHP,withdrawal,Travel,Cash,Metrobank,failed,0,45696.76
TXN103234,CUST1318,Robin,Trujillo,"2023-08-22 20:11:00",2023,8,22,"2023-08-21 00:00:00",2023,8,21,898.23,"United States",USD,purchase,Dining,Cash,BPI,Unknown,0,9057.33
TXN105950,CUST1583,John,Hanson,"2024-11-02 00:00:00",2024,11,2,"2022-10-02 00:00:00",2022,10,2,283.64,Japan,JPY,withdrawal,Subscriptions,"Bank Transfer",UnionBank,Completed,0,121255.69
TXN101227,CUST1223,Kelly,Edwards,"2025-11-02 00:00:00",2025,11,2,"2023-09-29 00:00:00",2023,9,29,821.77,Japan,JPY,fee,Other,GCash,DBS,Completed,Unknown,66762.92
TXN104423,CUST1864,Jeffrey,Solomon,"2025-05-03 00:00:00",2025,5,3,"2025-08-30 00:00:00",2025,8,30,181.47,Singapore,SGD,fee,Unknown,"Debit Card",Landbank,Reversed,0,107012.88
TXN105394,CUST1298,Paul,Sheppard,"2023-10-01 00:00:00",2023,10,1,"2023-04-13 00:00:00",2023,4,13,2257.48,Philippines,PHP,transfer,Groceries,"Credit Card",BPI,Reversed,Unknown,206489.36
TXN105489,CUST1052,Miss,Gibson,"2023-10-02 00:00:00",2023,10,2,"2023-05-11 00:00:00",2023,5,11,-7251.64,"United States",USD,refund,Entertainment,"Debit Card",Chase,Completed,0,61504.62
TXN102463,CUST1342,Maria,Collins,"2023-03-01 00:00:00",2023,3,1,"2023-05-12 00:00:00",2023,5,12,250.50,Singapore,SGD,fee,Investment,Unknown,Unknown,Completed,0,216831.52
TXN101971,CUST1113,Laura,Haney,"2025-03-14 00:00:00",2025,3,14,"2024-06-26 00:00:00",2024,6,26,426.93,"United States",USD,withdrawal,Education,"Credit Card",UnionBank,Completed,0,110243.98
TXN101874,CUST1769,Donna,Henry,"2025-08-06 00:00:00",2025,8,6,"2025-02-03 00:00:00",2025,2,3,2441.72,Singapore,SGD,deposit,"P2P Transfer",PayMaya,UnionBank,Pending,Unknown,236508.20
TXN100912,CUST1414,David,Trujillo,"2023-09-25 00:00:00",2023,9,25,"2025-06-26 00:00:00",2025,6,26,415.95,Philippines,PHP,fee,Education,Unknown,BDO,failed,1,63116.18
TXN100008,CUST1552,Matthew,Nelson,"2024-02-16 00:00:00",2024,2,16,"2024-07-23 00:00:00",2024,7,23,867.97,Singapore,SGD,fee,Utilities,"Bank Transfer",BDO,Completed,0,108270.28
TXN100953,CUST1431,Whitney,Cooper,"2023-04-06 00:00:00",2023,4,6,"2025-10-27 00:00:00",2025,10,27,3144.60,Philippines,PHP,Unknown,Groceries,"Bank Transfer",BPI,Completed,Unknown,241798.09
TXN103117,CUST1887,Samantha,Williams,"2026-06-13 00:00:00",2026,6,13,"2025-09-10 00:00:00",2025,9,10,-754.09,"United States",USD,refund,dining,"Bank Transfer",UnionBank,Completed,0,NULL
TXN104939,CUST1029,Angela,Lopez,"2023-03-24 00:00:00",2023,3,24,"2025-10-19 00:00:00",2025,10,19,-2194.47,Philippines,PHP,refund,Unknown,Unknown,BDO,Reversed,0,222328.55
TXN103538,CUST1836,James,Davenport,"2023-03-25 10:56:00",2023,3,25,"2024-10-08 00:00:00",2024,10,8,455.20,Japan,JPY,deposit,Entertainment,Cash,DBS,Pending,0,NULL
TXN105993,CUST1463,KAYLA,CAMERON,"2023-05-14 07:09:00",2023,5,14,"2023-03-29 00:00:00",2023,3,29,85.05,Unknown,Unknown,withdrawal,Groceries,PayMaya,BPI,failed,0,11959.54
TXN102311,CUST1283,Christian,Dawson,"2025-07-15 00:00:00",2025,7,15,"2022-10-28 00:00:00",2022,10,28,1639.06,Singapore,SGD,deposit,"Government Fees",PayMaya,BPI,failed,Unknown,82307.06
TXN104894,CUST1662,Jeremy,Anderson,"2023-10-07 18:17:00",2023,10,7,"2023-11-06 00:00:00",2023,11,6,5896.27,Japan,JPY,Unknown,Groceries,"Credit Card",BDO,Unknown,0,38941.90
TXN104868,CUST1054,David,Charles,"2025-12-03 00:00:00",2025,12,3,"2024-05-12 00:00:00",2024,5,12,791.08,"United States",USD,Unknown,Insurance,"credit card",OCBC,Unknown,1,241981.05
TXN101542,CUST1134,Jill,Lam,"2024-03-26 00:00:00",2024,3,26,"2024-09-08 00:00:00",2024,9,8,234.07,Japan,JPY,transfer,Education,"Credit Card",Chase,failed,Unknown,108370.38
TXN103155,CUST1469,Sharon,Newton,"2025-07-11 12:32:00",2025,7,11,"2023-07-06 00:00:00",2023,7,6,430.16,Japan,JPY,fee,Education,PayMaya,RCBC,Completed,0,115415.35
TXN102880,CUST1236,Edward,Craig,"2025-07-10 00:00:00",2025,7,10,"2025-05-25 00:00:00",2025,5,25,1182.45,Japan,JPY,transfer,Groceries,"credit card",Metrobank,Unknown,0,NULL
TXN103909,CUST1347,Holly,Scott,"2024-03-04 02:59:00",2024,3,4,"2023-04-21 00:00:00",2023,4,21,3868.20,"United States",USD,transfer,Groceries,Cash,OCBC,Failed,Unknown,211915.09
TXN100746,CUST1559,Kimberly,Stout,"2024-06-22 00:00:00",2024,6,22,"2024-01-19 00:00:00",2024,1,19,NULL,Singapore,SGD,withdrawal,Travel,"Bank Transfer",Metrobank,Completed,Unknown,NULL
TXN103132,CUST1753,gabriella,lane,"2024-12-05 00:00:00",2024,12,5,"2024-02-09 00:00:00",2024,2,9,1679.96,"United States",USD,purchase,Subscriptions,"Debit Card",DBS,Completed,0,226076.36
TXN103283,CUST1221,Ashley,Smith,"2023-04-11 16:30:00",2023,4,11,"2024-04-05 00:00:00",2024,4,5,480.56,Japan,JPY,deposit,"P2P Transfer","Bank Transfer",Unknown,Completed,Unknown,60820.24
TXN101988,CUST1319,Donna,Adams,"2023-03-24 14:49:00",2023,3,24,"2025-09-20 00:00:00",2025,9,20,-376.57,Unknown,Unknown,refund,Investment,GCash,Landbank,failed,0,96983.41
TXN103024,CUST1853,Jordan,Nelson,"2026-01-10 00:00:00",2026,1,10,"2025-03-10 00:00:00",2025,3,10,-101.49,Philippines,PHP,refund,"Government Fees",GCash,BDO,Reversed,Unknown,201873.20
TXN105483,CUST1767,Briana,Turner,"2024-12-02 00:00:00",2024,12,2,"2022-07-12 00:00:00",2022,7,12,-151.19,"United States",USD,refund,Subscriptions,"Bank Transfer",OCBC,Unknown,0,191173.01
