transaction_id,customer_id,customer_name,email,signup_date,transaction_date,amount,currency,transaction_type,merchant_category,payment_method,issuing_bank,country,status,fraud_flag,account_balance_after
TXN100889,CUST1081,Denise Mccann,heidi27@example.org,2025-07-23,12-08-2024,-370.19,Php,REFUND,Travel,Debit Card,,Philippines,Completed  ,FALSE,121000.73
TXN104987,CUST1475,Lisa Stanley,jtyler@example.com,2022-10-05,2025-09-11,76.15,,purchase,Government Fees,Credit Card,Landbank,Singapore,Failed,FALSE,
TXN103748,CUST1664,megan ferguson,fbradley@example.net,2024-02-22,14-05-2026,863.97,php,Withdrawal,othr,e-wallet,Metrobank,Philippines ,Completed,No,131522.64
TXN104322,CUST1445,Karen Carroll,ywhite@example.com,2024-08-23,2024/10/15 04:16,1444.25,PHP,,Healthcare,Bank Transfer,Chase,United States,Reversed,,52143.08
TXN100700,CUST1052,Miss Patricia Gibson,jennifercruz@example.com,2023-05-11,11/22/2024,265.37,,purchase,Travel,Credit Card,Metrobank,Japan,Reversed,No,146858.81
TXN103929,CUST1154,Maria Hernandez,thomasjames@example.net,2023-01-15,08-12-2023,-2486.19,PHP,Refund,Investment,cash,Chase,Philippines,failed,FALSE,9182.4
TXN105474,CUST1723,John Smith,saramann@example.net,2025-08-10,15/06/26,5078.87,Php,Deposit,Subscriptions,Cash  ,,SG,completed,FALSE,232675.23
TXN100948,CUST1311,Lisa Glenn,washingtonjames@example.com,2025-11-16,2023/01/25 06:44,,PHP,Refund,Insurance  ,Bank Transfer,,United States,Completed,FALSE,
TXN103031,CUST1016,Sandra Parker,allenashley@example.org,2022-10-21,01/04/23,"1,348.31",php,Fee,,credit card  ,RCBC,Philippines ,failed,1,125673.94
TXN104448,CUST1395,Jennifer Avila,angelarandall@example.net,2023-12-21,05/03/24,536.47,PHP ,Deposit,Electronics,Debit Card,,Singapore,,No,27067.2
TXN104542,CUST1204,Amanda Shields,williamsdarlene@example.net,2023-06-07,"July 16, 2025",387.77,PHP,,P2P Transfer,Bank Transfer,Chase,PHL,,0,141581.36
TXN105045,CUST1339,Dennis Williams,fryraymond@example.com,2024-09-14,2025/05/02 20:46,773.15,,Deposit,Fuel,e-wallet,BPI,Philippines ,Reversed,0,10483.28
TXN100738,CUST1771,Christopher Knox,anthonyhubbard@example.com,2025-12-25,2023-01-02,-204.86,SGD,REFUND,Fuel,Bank Transfer,OCBC,Philippines ,Failed,No,
TXN100582,CUST1751,Kathleen Golden,cartertara@example.net,2025-10-06,2023-09-27,4881.36,PHP,,GROCERIES  ,DEBIT CARD,,United States,,No,
TXN103470,CUST1155,Angela Bean,KMARSHALL@EXAMPLE.NET,2024-01-28,21-12-2023,737.83,php,Fee,Entertainment,cash,BDO,JP,failed,0,168944.91
TXN102209,CUST1394,Jeremiah Baker,anne21@example.org,2024-11-03,01/15/2024,1716.42,USD,Transfer,Insurance,GCash,Metrobank,US,failed,1,17724.72
TXN105822,CUST1643,Ashley Blair,webbhaley@example.net,2023-07-06,09/13/2024,370.29,SGD,,Fashion,GCash,DBS,PH,completed,0,81253.86
TXN104881,CUST1790,Jesus Fitzgerald,aperez@example.com,2025-12-13,2025/07/10 16:15,-3821.79,JPY,Refund,ATM Withdrawal,Bank Transfer,BPI,USA,Reversed,0,114206.09
TXN102290,CUST1854,Thomas Sanchez,vrhodes@example.org,2023-07-02,2025/05/02 02:57,702.21,,Transfer,ATM Withdrawal,e-wallet,Metrobank,Japan,failed,FALSE,65096.62
TXN105587,CUST1476,Kelly Krueger,hartmanerik@example.net,2024-05-20,"September 24, 2025",-669.95,PHP ,Refund,,cash,UnionBank,Japan,Reversed,FALSE,180056.15
TXN105307,CUST1191,Jessica Martinez,kimberlydiaz@example.com,2025-10-29,"February 20, 2024",412.85,SGD,Fee,Subscriptions,e-wallet,UnionBank,Philippines ,,No,157595.49
TXN100244,CUST1547,RYAN DAVIS,jordan58@example.net,2025-10-06,07/29/2023,-6417.75,Php,REFUND,ATM Withdrawal,Credit Card,Chase,SG,Pending,,219225.07
TXN105722,CUST1114,Natasha Williams,swall@example.org,2024-08-17,25/11/25,356.31,PHP ,Withdrawal,Dining,cash,Chase,USA,COMPLETED,0,138277.66
TXN105299,CUST1132,KAYLA RODRIGUEZ,soniawilliams@example.net,2024-04-30,2025/01/03 10:01,393.99,,Fee,Fashion,,Metrobank,USA,Failed,No,25492.25
TXN100059,CUST1611,Sharon Smith,yhall@example.net,2025-12-03,"July 18, 2025",,USD,Refund,Subscriptions,DEBIT CARD,RCBC,USA,Pending,,30406.41
TXN103052,CUST1401,Chase Knight,buckleyanna@example.org,2025-04-03,05/05/2024,1304.0,,purchase,ATM Withdrawal,PayMaya,Landbank,JP,Failed,,110742.5
TXN104232,CUST1181,Paul Kelly,cooperjessica@example.net,2022-11-13,11/26/2025,418.1,php,Fee,othr,Bank Transfer,OCBC,USA,Completed,No,20407.39
TXN104848,CUST1312,Kathleen Cohen,cmckinney@example.com,2023-02-02,13-01-2026,76.6,USD,purchase,,cash,Landbank,Japan,Reversed,0,233672.24
TXN102945,CUST1120,Alexis Herrera,vrichardson@example.net,2023-06-04,14-01-2024,522.36,JPY,Transfer,othr,credit card,BDO,Philippines ,Completed,FALSE,191828.8
TXN103861,CUST1439,Sara Caldwell,stacychan@example.org,2025-01-13,2025-01-30,605.96,SGD,Withdrawal,Others,credit card,,PH,COMPLETED,FALSE,180286.31
TXN101002,CUST1841,Diane Byrd MD,bsparks@example.com,2025-12-02,27/02/23,966.29,SGD,Fee,Government Fees,DEBIT CARD,BPI,PHL,Completed,,135404.27
TXN102547,CUST1670,Jessica Baird,amy32@example.net,2024-11-05,03/01/2024,402.61,PHP ,Withdrawal,Investment,DEBIT CARD,Metrobank,PH,COMPLETED,,115106.24
TXN101450,CUST1376,Andrew Brown,andrewwoods@example.com,2025-09-19,28/10/25,-121655.0,JPY,Refund,ATM Withdrawal,Debit Card,Landbank,SG,Failed,No,238227.35
TXN100956,CUST1165,Yolanda Gaines,lucasrodney@example.com,2022-07-27,02/01/2026,206.72,Php,purchase,Fashion,Debit Card,,United States,completed,0,220540.98
TXN101677,CUST1523,Melinda Williams,aoconnell@example.org,2025-05-21,"November 22, 2023",389.21,PHP ,purchase,Investment,Credit Card,OCBC,United States,COMPLETED,FALSE,187817.03
TXN105363,CUST1304,Crystal Sullivan,jacobsandoval@example.com,2022-08-10,2023/05/22 01:01,-1865.16,JPY,Refund,dining ,Cash,OCBC,Philippines  ,Pending,0,217767.2
TXN104993,CUST1275,Michele Miller,vnewman@example.net,2025-12-04,2023/07/23 11:59,571.63,php,Deposit,GROCERIES,Cash  ,Chase,Japan,Failed,,167256.0
TXN105060,CUST1241,Jennifer Dunn,ztodd@example.net,2025-05-24,13/08/25,279.54,Php,Withdrawal,Entertainment,DEBIT CARD,BDO,Singapore,Completed,No,93080.65
TXN104949,CUST1536,Susan Porter,,2023-03-25,08/27/2023,1068.61,JPY,purchase,Travel,Bank Transfer,Chase,SG,Reversed,,155730.65
TXN102936,CUST1895,Jennifer Blackwell,jennifer55@example.org,2025-05-25,19/08/24,464.84,SGD,Fee,dining ,e-wallet,DBS,United States,,No,78989.61
TXN102082,CUST1464,melissa morse,tinasantos@example.org,2024-04-07,2024-07-28,150.73,Php,Deposit,groceries,Credit Card,Chase,,failed,0,244151.98
TXN102173,CUST1336,Nicole Phillips,bowerslaura@example.org,2024-03-27,2024-03-05,154.72,PHP,,dining ,DEBIT CARD,RCBC,United States,COMPLETED,,104640.0
TXN100825,CUST1621,Richard Rodriguez,anthonyodom@example.net,2023-06-10,08/05/24,N/A,JPY,Deposit,groceries,Bank Transfer,BPI,Philippines,Reversed,,153428.43
TXN102222,CUST1473,Nancy Wilson,pattersonangela@example.org,2023-01-25,26-01-2023,₱463.71,,Withdrawal,GROCERIES,Cash,,PHL,Reversed,,171125.6
TXN102334,CUST1824,Brian Lewis,scott49@example.org,2024-03-21,27/03/25,187.49,SGD,Fee,Others,e-wallet,,Philippines,completed,No,189565.25
TXN102436,CUST1665,Michael Mckinney,oruiz@example.org,2025-07-08,"April 24, 2023",-557.99,PHP,REFUND,Education,Credit Card,RCBC,,Pending,,142928.06
TXN104861,CUST1847,John Davis,hthomas@example.com,2022-08-29,"October 30, 2024",1878.23,PHP,Deposit,Government Fees,Cash,BPI,Japan,,No,71676.86
TXN100788,CUST1784,Cathy Bell,thomasjulie@example.com,2025-10-28,2025-12-30,-52.83,php,REFUND,GROCERIES,credit card,Chase,PHL,failed,FALSE,98921.83
TXN103294,CUST1232,Sarah Johnson,robertmonroe@example.org,12/29/2025,20/08/25,-2435.49,PHP ,REFUND,Electronics,Bank Transfer,Landbank,Philippines ,failed,Yes,121858.06
TXN100149,CUST1065,Alec Ryan,jeffrey10@example.org,2025-10-29,"March 26, 2026","-1,825.57",Php,REFUND,dining ,credit card,,PH,Failed,0,184605.28
TXN102638,CUST1130,Ashley Delacruz,alexistyler@example.org,2024-07-25,18-05-2025,-368.19,,Refund,ATM Withdrawal,GCash,Landbank,SG,completed,No,163244.14
TXN105079,CUST1461,Lisa Morris,mbarnes@example.net,2025-03-04,"February 05, 2023",1337.57,php,,dining ,Debit Card,BPI,United States,,No,133722.16
TXN103962,CUST1385,Amber Kim,acosta@example.com,2025-08-03,2024/03/19 08:22,-1083.27,USD,REFUND,Fuel,,RCBC,United States,COMPLETED,FALSE,147572.97
TXN102108,CUST1810,Sara Herrera,joseph49@example.com,2025-04-27,10/09/2025,1976.03,,Fee,dining ,PayMaya,Landbank,JP,completed,0,215423.8
TXN100676,CUST1021,Michael Lewis,jenniferkhan@example.net,2024-02-28,2025/09/16 14:26,540.35,Php,,Government Fees,Cash,,JP,Reversed,,25804.5
TXN103725,CUST1696,Timothy Cole,suzanne01@example.net,2024-09-25,04/26/2024,1188.71,USD,Fee,,PayMaya,BDO,USA,COMPLETED,No,74963.44
TXN100915,CUST1366,Amber Glass,zunderwood@example.com,2022-08-10,01/28/2023,12450.31,PHP ,purchase,Dining,Debit Card,BDO,PHL,completed,FALSE,215104.85
TXN105297,CUST1655,Susan Wallace,lloydrebecca@example.org,2023-03-04,09/02/2023,-3151.15,,Refund,groceries,cash,UnionBank,Singapore,completed,,100464.13
TXN100706,CUST1443,Catherine Morales,ynelson@example.net,06/25/2025,12/07/24,-122.65,PHP,REFUND,Others,GCash  ,,,Completed,1,98031.05
TXN104818,CUST1306,Rebecca Ray,michaelgonzalez@example.org,2023-06-04,28/02/23,165.21,JPY,Purchase,dining ,Bank Transfer,BDO,,failed,FALSE,63878.28
TXN104085,CUST1831,Kaitlin Gutierrez,jennifer12@example.net,2023-06-02,07/08/24,950.63,PHP,Deposit,dining ,GCash,,Philippines,failed,FALSE,130115.71
TXN104142,CUST1743,Lori Padilla,daltonchad@example.net,2023-09-02,10/05/2023,253.57,Php,Purchase,Utilities,DEBIT CARD,,SG,,,84823.51
TXN100683,CUST1393,Deborah May,ylopez@example.com,2023-02-27,2026-03-09,116.11,Php,Withdrawal,Travel,Cash,Metrobank,PH,failed,No,45696.76
TXN103234,CUST1318,Robin Trujillo,amanda98@example.org,2023-08-21,2023/08/22 20:11,898.23,SGD,purchase,Dining,Cash,BPI,US,,FALSE,9057.33
TXN105950,CUST1583,John Hanson,brandon39@example.net,2022-10-02,02/11/24,283.64,PHP ,Withdrawal,Subscriptions,Bank Transfer,UnionBank,JP,COMPLETED,0,121255.69
TXN101227,CUST1223,Kelly Edwards,stevepatel@example.net,09/29/2023,2025-11-02,821.77,,Fee,Others,GCash,DBS,JP  ,COMPLETED,,66762.92
TXN104423,CUST1864,Jeffrey Solomon,ievans@example.net,2025-08-30,"May 03, 2025",181.47,USD  ,Fee,,DEBIT CARD,Landbank,SG,Reversed,FALSE,107012.88
TXN105394,CUST1298,Paul Sheppard,grodriguez@example.com,2023-04-13,10/01/2023,2257.48,SGD,Transfer,groceries,Credit Card,BPI,PHL,Reversed,,206489.36
TXN105489,CUST1052,Miss Patricia Gibson,jennifercruz@example.com,2023-05-11,2023-10-02,-7251.64,SGD,REFUND,Entertainment,DEBIT CARD,Chase,United States,completed,FALSE,61504.62
TXN102463,CUST1342,Maria Collins,pblair@example.org,2023-05-12,03/01/2023,250.5,SGD,Fee,Investment,,,Singapore,Completed,FALSE,216831.52
TXN101971,CUST1113,Laura Haney,andrew64@example.org,2024-06-26,2025-03-14,426.93,JPY,Withdrawal,Education,Credit Card,UnionBank,US,Completed,No,110243.98
TXN101874,CUST1769,Donna Henry,mary47@example.net,2025-02-03,06-08-2025,2441.72,SGD,Deposit,P2P Transfer,PayMaya,UnionBank,Singapore,Pending,,236508.2
TXN100912,CUST1414,David Trujillo,jennifer46@example.com,2025-06-26,"September 25, 2023",415.95,PHP ,Fee,Education,,BDO,Philippines ,failed,1,63116.18
TXN100008,CUST1552,Matthew Nelson,XNORMAN@EXAMPLE.NET,2024-07-23,"February 16, 2024",867.97,php,Fee,Utilities,Bank Transfer,BDO,SG,completed,No,108270.28
TXN100953,CUST1431,Whitney Cooper,mhoward@example.org,2025-10-27,2023-04-06,3144.6,SGD,,Groceries,Bank Transfer,BPI,PH,COMPLETED,,241798.09
TXN103117,CUST1887,Samantha Williams,jacksondavid@example.org,2025-09-10,"June 13, 2026",-754.09,USD,REFUND,dining ,Bank Transfer,UnionBank,USA,COMPLETED,No,
TXN104939,CUST1029,Angela Lopez,leonardjoe@example.org,2025-10-19,2023-03-24,-2194.47,php,REFUND,,,BDO,PH,Reversed,No,222328.55
TXN103538,CUST1836,James Davenport,andrewjohnson@example.net,2024-10-08,2023/03/25 10:56,455.2,SGD,Deposit,Entertainment,cash,DBS,JP,Pending,FALSE,
TXN105993,CUST1463,KAYLA CAMERON,jennifer83@example.org,2023-03-29,2023/05/14 07:09,85.05,Php,Withdrawal,Groceries,PayMaya,BPI,,failed,FALSE,11959.54
TXN102311,CUST1283,Christian Dawson,jodistewart@example.org,10/28/2022,15-07-2025,1639.06,USD,Deposit,Government Fees,PayMaya,BPI,Singapore,failed,,82307.06
TXN104894,CUST1662,Jeremy Anderson,dberger@example.org,2023-11-06,2023/10/07 18:17,5896.27,php,,groceries,Credit Card,BDO,JP,,FALSE,38941.9
TXN104868,CUST1054,David Charles,danderson@example.net,2024-05-12,12/03/2025,791.08,PHP,,Insurance,credit card,OCBC,USA,,TRUE,241981.05
TXN101542,CUST1134,Jill Lam,charlene12@example.com,2024-09-08,26-03-2024,234.07,Php,Transfer,Education,Credit Card,Chase,Japan,failed,,108370.38
TXN103155,CUST1469,Sharon Newton,yyoung@example.net,2023-07-06,2025/07/11 12:32,430.16,PHP ,Fee,Education,PayMaya  ,RCBC,Japan  ,COMPLETED,No,115415.35
TXN102880,CUST1236,Edward Craig,gregorychase@example.com,2025-05-25,"July 10, 2025",1182.45,USD,Transfer,GROCERIES,credit card,Metrobank,JP,,0,
TXN103909,CUST1347,Holly Scott,shannonemily@example.org,2023-04-21,2024/03/04 02:59,3868.2,PHP ,Transfer,groceries,cash,OCBC,United States,Failed,,211915.09
TXN100746,CUST1559,Kimberly Stout,zfernandez@example.org,2024-01-19,22/06/24,,PHP,Withdrawal,Travel,Bank Transfer,Metrobank,Singapore,COMPLETED,,
TXN103132,CUST1753,gabriella lane,todd88@example.com,2024-02-09,12/05/2024,"₱1,679.96",PHP ,Purchase,Subscriptions,Debit Card,DBS,United States,Completed,No,226076.36
TXN103283,CUST1221,Ashley Smith,,2024-04-05,2023/04/11 16:30,480.56,php,Deposit,P2P Transfer,Bank Transfer,,JP,completed,,60820.24
TXN101988,CUST1319,Donna Adams,taylorkaren@example.com,2025-09-20,2023/03/24 14:49,-376.57,Php,REFUND,Investment,GCash,Landbank,,failed,No,96983.41
TXN103024,CUST1853,Jordan Nelson,brandybonilla@example.net,2025-03-10,2026-01-10,-101.49,,REFUND,Government Fees,GCash  ,BDO,PHL,Reversed,,201873.2
TXN105483,CUST1767,Briana Turner,carl96@example.org,2022-07-12,12/02/2024,-151.19,Php,REFUND,Subscriptions,Bank Transfer,OCBC,USA,,No,191173.01
TXN104437,CUST1798,Paige Guerrero,msparks@example.com,2024-10-27,04/01/25,N/A,php,Purchase,Electronics,cash,UnionBank,Singapore,Pending,FALSE,115850.96
TXN100971,CUST1313,Rebecca Walker,hillamanda@example.org,2025-03-27,"November 30, 2024",423.36,PHP ,Withdrawal,Healthcare,DEBIT CARD,BPI,PHL  ,,No,
TXN100500,CUST1554,  Angela Jackson  ,davissharon@example.com,2024-06-03,09-03-2024,97.18,PHP,Deposit,Entertainment,Bank Transfer,,Japan,completed,TRUE,65308.57
TXN105756,CUST1285,Ashley Davis,carlsonkristen@example.com,2022-07-19,2025/11/09 14:06,-2000.0,php,Refund,GROCERIES,Credit Card,BDO,SG,Failed,,186494.03
TXN101042,CUST1048,Cheryl Ortega,lbyrd@example.net,2024-06-30,"May 12, 2026",-745.38,JPY,REFUND,Travel,,Landbank,PHL,failed,FALSE,218618.52
TXN100718,CUST1320,Sharon Martinez DVM,,2025-03-03,02-09-2025,2067.65,JPY,Fee,Government Fees,,,,Pending,No,162893.9
TXN100179,CUST1104,ANDREW SHAW MD,sawyerscott@example.net,2025-09-09,2025/02/05 17:41,,php,Transfer,Entertainment,credit card,Landbank,Singapore,failed,FALSE,85530.48
TXN104215,CUST1313,  Rebecca Walker  ,hillamanda@example.org,2025-03-27,07/20/2025,2164.13,,Withdrawal,Healthcare,Debit Card,UnionBank,Philippines,,FALSE,123384.2
TXN103453,CUST1839,  Thomas Chavez  ,TWILSON@EXAMPLE.ORG,2023-03-04,2025/07/27 11:02,1620.6,SGD,Transfer,Utilities,Cash,Landbank,US,completed,No,207496.13
TXN104900,CUST1494,Jeffrey Smith,kristenjoseph@example.net,2024-01-12,06/05/2023,-1198.71,USD,Refund,Dining,Debit Card,Metrobank,Singapore,Pending,No,147096.66
TXN102172,CUST1129,Crystal Schroeder,ramireztracey@example.org,2024-05-24,12/20/2025,-861.72,USD,REFUND,,Credit Card,BDO,SG,Completed,0,73194.59
TXN102321,CUST1277,Benjamin Frost,whitemelissa@example.org,2025-11-13,19/09/23,₱340.06,Php,Fee,Electronics,Bank Transfer,DBS,Philippines,failed,No,
TXN100275,CUST1212,MARTHA RUIZ,booneryan@example.com,2025-01-18,31-10-2023,₱59.66,SGD,Purchase,GROCERIES,credit card,Chase,PH,Completed,No,9652.46
TXN100747,CUST1681,Shannon English,dhanson@example.net,2023-12-28,12/22/2025,947.54,USD,Fee,,Bank Transfer,DBS,US,,No,197612.59
TXN102094,CUST1373,Raven Mclaughlin,barbaramcgrath@example.com,2023-09-30,2025-05-02,750.21,,Deposit,GROCERIES,PayMaya,Chase,JP,Completed,FALSE,92872.93
TXN102193,CUST1233,Jon Zuniga,nancy04@example.net,2024-08-12,06/16/2025,1170.25,USD,,Others,Bank Transfer,OCBC,Philippines ,COMPLETED,,126084.61
TXN105941,CUST1363,Joel Lara,davidbrown@example.org,2022-12-18,02/07/2025,1622.96,Php,Fee,GROCERIES,Bank Transfer,Metrobank,PHL,Failed,FALSE,72410.29
TXN101355,CUST1184,Emily Collins,ihays@example.com,2023-05-23,2023-01-14,-1056.87,php,Refund,Entertainment,cash,Landbank,SG,Failed,,200100.87
TXN103598,CUST1499,Daniel Barton,dennis88@example.org,2023-11-23,09/08/2024,"₱-1,963.02",USD,REFUND,Healthcare,DEBIT CARD,Landbank,Philippines,,,
TXN100194,CUST1246,Robert Reese,williamsmelvin@example.org,2024-05-25,07/23/2024,1944.25,USD,,Subscriptions,Debit Card,DBS,Japan,,,88053.3
TXN100305,CUST1527,Megan Ward,cantrellchristopher@example.com,2025-03-26,"October 01, 2025",₱-220.91,,Refund,Government Fees,Debit Card,Landbank,SG,failed,0,127148.79
TXN100187,CUST1706,  Jessica Mendez  ,gainesjennifer@example.org,2022-08-17,2025/06/28 12:07,N/A,PHP,Transfer,Insurance,PayMaya,OCBC,JP,completed,No,143572.75
TXN103693,CUST1761,MICHAEL WILSON,moralesmary@example.com,2023-10-03,2024-12-06,144.9,php,Withdrawal,othr,GCash,Chase,United States,COMPLETED,No,133309.94
TXN104814,CUST1827,Melissa Mccormick,johnnycruz@example.net,11/09/2025,17/02/26,-11406.41,USD,Refund,Entertainment,Debit Card,BPI,Singapore,Completed,FALSE,132678.84
TXN105301,CUST1443,Catherine Morales,ynelson@example.net,2025-06-25,29-10-2023,-5099.0,PHP,Refund,Utilities,Bank Transfer,DBS,JP,Completed,FALSE,
TXN100868,CUST1720,William Johnston,marcoconnell@example.org,2025-03-06,2025-01-25,270.42,php,,Travel,GCash,UnionBank,PHL,completed,0,15108.46
TXN103059,CUST1459,Joanna Barrett,tamarasmith@example.net,2022-09-04,18/06/24,1491.3,PHP ,Withdrawal,Electronics,,Metrobank,USA,Reversed,0,33361.53
TXN100934,CUST1460,sara webb,heatherthompson@example.org,2022-11-13,25-06-2024,,JPY,Transfer,Healthcare,,BDO,US,failed,No,
TXN105791,CUST1132,Kayla Rodriguez,soniawilliams@example.net,2024-04-30,21/11/23,526.48,php,Purchase,P2P Transfer  ,Credit Card,Landbank,Japan,Completed,0,44316.08
TXN105042,CUST1630,nathan wilson,phillipmorris@example.org,2023-02-17,28/01/23,1624.89,PHP,,Fuel,credit card,BDO,United States,Pending,0,140221.0
TXN101172,CUST1704,Destiny Brown,dcook@example.com,2025-11-06,01/01/25,24.01,JPY,Deposit,Entertainment,Debit Card,UnionBank,USA,failed,0,146673.26
